IAJD,field,old,new,evidence
16,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c2)COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c2)c1,SI formula validated (Scheme S5/S9)
17,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,SI formula validated (Scheme S5/S9)
18,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN(C)C)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,SI formula validated (Scheme S5/S9)
46,SMILES_reconstruct,CCCCCCCCCCCCOc%20cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCCCC1)c2C(=O)NCc3cc(OCCOCCOCCOC(=O)CCCN1CCCCC1)c(OCCOCCOCCOC(=O)Cc1ccccc1)c(OCCOCCOCCOC(=O)CCCN1CCCCC1)c3C(=O)NCc4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(OCCCCCCCCCCCC)c%20,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)c1,SI formula validated (Scheme S5/S9)
9,SMILES_reconstruct,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,SI formula validated (Scheme S5/S9)
24,SMILES_reconstruct,CCOCCOCCOc1cc(C(=O)NCc2cc(OCC(C)CCCC(C)C)cc(OCC(C)CCCC(C)C)c2)cc(OCCOCCOCCOC(=O)CCCN(C)C)c1OCCOCCOCCOC(=O)CCCN(C)C,CC(C)CCCC(C)CCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(CC(C)CCCC(C)CCO)c1,"SI-validated (dm8 chains, 2 DMBA + 1 OBn); 10118 differs (its known multi-DMBA offset)"
273,SMILES_reconstruct,C(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,10118-vector-resolved: C12+methoxyethyl-piperazine+pentanoate (C53H106N2O6); image-SI not text-verified
287,SMILES_reconstruct,C(COCCCCCCC)(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCOCCO)CC1,CCCCCCCCOCC(COCCCCCCCC)(COCCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,10118-vector-resolved: C8+methoxyethyl-piperazine+pentanoate (C41H82N2O6); image-SI not text-verified
291,SMILES_reconstruct,C(COCCCCCCC)(COCCCCCCC)(COCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COC(=O)CCCCN1CCN(CCOC)CC1,10118-vector-resolved: C7+methoxyethyl-piperazine+pentanoate (C38H76N2O6); image-SI not text-verified
297,SMILES_reconstruct,CCCCC(CC)COc1ccc(C(=O)OCCCCN2CCN(C)CC2)cc1OCC(CC)CCCC,CCCCC(CC)COc1ccc(C(=O)OCCCCN2CCN(CCO)CC2)cc1OCC(CC)CCCC,head=HPRZ (10118 HBD=1 confirms bioact-file; reverts round-2 MPRZ over-alignment)
